tb_mid_x,tb_mid_y,hw_x,hw_y,hm_x,hm_y,ht_x,ht_y,mouth_mid_x,mouth_mid_y,is_smiling,teeth_section
90.59048462,-2.08203125,285.0865173,16.05978012,232.9638863,-43.28962326,193.25,-19.09587479,0,0,1,2
81.8536377,-4.767333984,286.504364,10.40019035,231.730299,-48.36394787,194.625,-24.75595665,0,0,1,2
84.05627441,-7.073272705,283.8158417,2.535610199,229.4086838,-52.77970076,198,-29.65482903,0,0,1,2
90.05032349,-2.369506836,289.1917419,9.074821472,237.7248573,-48.52100372,202.125,-23.96316147,0,0,1,2
81.37908936,-2.835723877,280.0340652,11.81571007,231.365757,-45.84601879,198.5,-21.26961136,0,0,1,2
89.70605469,2.068145752,283.3778763,21.94069862,233.3939075,-37.41906881,192.875,-9.776733398,0,0,1,2
94.15530396,0.089111328,289.3353653,19.83003616,239.4703674,-40.81797838,202.625,-14.9281311,0,0,1,2
82.56399536,0.349639893,285.6156921,21.43295288,237.3386097,-38.97926331,203.5,-13.43365288,0,0,1,2
78.41931152,1.318206787,286.7597961,27.98046112,240.0664806,-35.33604383,202.5,-6.703371048,0,0,1,2
72.97634888,3.57232666,282.2945404,35.49862862,236.397543,-32.90564775,190.5,-7.046310425,0,0,1,2
64.63989258,7.467681885,275.5615234,42.25007057,226.758461,-25.42674065,179.75,3.811832428,0,0,1,2
89.29156494,3.37689209,282.7604675,31.93977356,233.3318901,-35.87460995,188.125,-6.49612999,0,0,1,2
76.43609619,1.648071289,271.4769745,20.77915192,222.6473808,-39.20192957,190.875,-12.62827492,0,0,1,2
91.98849487,0.760314941,283.0506516,17.8172493,236.4513779,-39.63616848,204,-15.07723618,0,0,1,2
97.96466064,1.938995361,288.3899689,16.80736542,240.142107,-39.95726824,208,-12.4720974,0,0,1,2
87.7093811,2.229553223,279.9185944,16.21687889,231.5549278,-44.35612679,196.5,-10.67451668,0,0,1,2
85.43276978,-0.798583984,278.8886642,15.62447548,232.2255802,-47.2697854,193.625,-12.77027893,0,0,1,2
